id,Nom,EnfantsPermis,Prix,PlacesDispo,Cause,BesoinVolontaires,EspacesExterieur,idAssociation,idLieu
1,"Hahn, Cox and Walsh",0,9,844,Cross-platform methodical utilization,1,0,2,4
2,Harris Group,1,83,319,Persistent explicit capacity,1,0,10,6
3,Andrade Inc,1,14,861,User-friendly mobile success,1,0,8,1
4,"Rowland, Terrell and Williams",1,73,60,Fundamental contextually-based orchestration,0,0,10,3
5,Warren-Roberts,0,67,550,Secured web-enabled portal,0,0,7,7
6,Fox and Sons,1,95,139,Monitored 4thgeneration hardware,1,0,2,5
7,Rodriguez Group,0,16,913,Persevering dedicated archive,1,0,10,1
8,"Garrison, Anderson and Allison",0,27,839,Digitized system-worthy flexibility,1,0,2,3
9,"Chavez, Bishop and Singh",0,90,991,Expanded intangible ability,0,1,1,4
10,Woodward-Rogers,0,20,151,Focused bandwidth-monitored data-warehouse,1,0,8,3
