id,Nom,EnfantsPermis,Prix,PlacesDispo,Cause,BesoinVolontaires,EspacesExterieur,idAssociation,idLieu
1,Smith-Smith,1,64,570,Mandatory system-worthy service-desk,1,1,8,5
2,Huber-Steele,1,57,871,Synchronized 3rdgeneration adapter,0,0,5,10
3,Hunt Group,1,21,26,Pre-emptive contextually-based process improvement,0,1,3,4
4,Salinas Ltd,0,88,523,Devolved fresh-thinking architecture,0,1,7,6
5,Wells-Adams,1,33,471,Robust eco-centric contingency,0,1,6,9
6,"Torres, Smith and Brown",1,10,401,Versatile attitude-oriented website,0,0,3,9
7,"Bond, Lara and Miller",0,29,871,Expanded explicit framework,1,0,4,6
8,"Torres, Jones and Gomez",0,86,858,Face-to-face modular synergy,1,1,1,3
9,"Williams, Clark and Harrison",1,75,850,Seamless discrete frame,0,1,2,1
10,Valencia-Jones,0,45,246,Polarized static frame,0,0,10,1
